sensor_type, device_type, timestamps, x, y, z, 
gyroscope,smartphone,1454463927243588349,0.008,0.048,0.002
gyroscope,smartphone,1454463927248476718,0.009,0.054,0.004
gyroscope,smartphone,1454463927253393838,0.011,0.060,0.004
gyroscope,smartphone,1454463927257850071,0.016,0.066,0.004
gyroscope,smartphone,1454463927263550889,0.020,0.071,0.006
gyroscope,smartphone,1454463927268318945,0.023,0.074,0.006
gyroscope,smartphone,1454463927273667470,0.026,0.075,0.003
gyroscope,smartphone,1454463927278282037,0.030,0.074,-0.000
gyroscope,smartphone,1454463927283635146,0.030,0.070,-0.002
gyroscope,smartphone,1454463927288936536,0.029,0.066,-0.004
gyroscope,smartphone,1454463927293185947,0.025,0.059,-0.005
gyroscope,smartphone,1454463927298392128,0.020,0.054,-0.007
gyroscope,smartphone,1454463927303331175,0.013,0.049,-0.008
gyroscope,smartphone,1454463927308269387,0.006,0.043,-0.007
gyroscope,smartphone,1454463927313624945,0.003,0.037,-0.005
gyroscope,smartphone,1454463927318196490,-0.000,0.032,-0.002
gyroscope,smartphone,1454463927323441422,-0.001,0.030,0.001
gyroscope,smartphone,1454463927329148437,-0.001,0.029,0.002
gyroscope,smartphone,1454463927334153317,0.000,0.029,0.004
gyroscope,smartphone,1454463927338682310,0.004,0.030,0.006
gyroscope,smartphone,1454463927343682295,0.007,0.032,0.008
gyroscope,smartphone,1454463927349079934,0.008,0.036,0.011
gyroscope,smartphone,1454463927353665127,0.008,0.036,0.014
gyroscope,smartphone,1454463927358646100,0.008,0.032,0.013
gyroscope,smartphone,1454463927364140250,0.007,0.025,0.009
gyroscope,smartphone,1454463927368656171,0.003,0.017,0.008
gyroscope,smartphone,1454463927373887978,-0.004,0.013,0.007
gyroscope,smartphone,1454463927378865306,-0.016,0.009,0.005
gyroscope,smartphone,1454463927384544612,-0.034,0.005,0.003
gyroscope,smartphone,1454463927389143867,-0.052,0.000,0.002
gyroscope,smartphone,1454463927394257809,-0.074,-0.006,0.003
gyroscope,smartphone,1454463927399597845,-0.098,-0.011,0.005
gyroscope,smartphone,1454463927404300745,-0.121,-0.016,0.009
gyroscope,smartphone,1454463927409684323,-0.146,-0.018,0.014
gyroscope,smartphone,1454463927414497795,-0.177,-0.019,0.018
gyroscope,smartphone,1454463927419039499,-0.207,-0.018,0.025
gyroscope,smartphone,1454463927424565159,-0.238,-0.019,0.035
gyroscope,smartphone,1454463927429857331,-0.265,-0.025,0.042
gyroscope,smartphone,1454463927434645752,-0.281,-0.040,0.046
gyroscope,smartphone,1454463927440000631,-0.275,-0.056,0.049
gyroscope,smartphone,1454463927444262646,-0.245,-0.065,0.054
gyroscope,smartphone,1454463927449734089,-0.201,-0.061,0.063
gyroscope,smartphone,1454463927454999801,-0.135,-0.044,0.078
gyroscope,smartphone,1454463927460012962,-0.060,-0.019,0.095
gyroscope,smartphone,1454463927464492737,0.022,0.010,0.116
gyroscope,smartphone,1454463927469335743,0.107,0.043,0.145
gyroscope,smartphone,1454463927474981819,0.187,0.078,0.178
gyroscope,smartphone,1454463927479559459,0.254,0.106,0.206
gyroscope,smartphone,1454463927485133037,0.326,0.138,0.235
gyroscope,smartphone,1454463927489538177,0.383,0.165,0.256
gyroscope,smartphone,1454463927495076702,0.426,0.186,0.268
gyroscope,smartphone,1454463927500249759,0.458,0.212,0.275
gyroscope,smartphone,1454463927504965992,0.483,0.244,0.277
gyroscope,smartphone,1454463927509926654,0.491,0.275,0.275
gyroscope,smartphone,1454463927514667991,0.484,0.302,0.263
gyroscope,smartphone,1454463927519847403,0.458,0.304,0.249
gyroscope,smartphone,1454463927525568375,0.421,0.280,0.230
gyroscope,smartphone,1454463927529753932,0.374,0.236,0.205
