sensor_type, device_type, timestamps, x, y, z, 
accelerometer,smartphone,1454458980269092177,0.015,0.515,9.968
accelerometer,smartphone,1454458980274142681,0.019,0.514,9.999
accelerometer,smartphone,1454458980279139540,-0.000,0.494,9.982
accelerometer,smartphone,1454458980284287024,-0.016,0.493,9.963
accelerometer,smartphone,1454458980289173673,0.009,0.503,9.990
accelerometer,smartphone,1454458980294556992,0.005,0.495,10.009
accelerometer,smartphone,1454458980299218277,-0.013,0.516,9.999
accelerometer,smartphone,1454458980304505761,-0.016,0.498,9.945
accelerometer,smartphone,1454458980309524130,-0.005,0.499,9.941
accelerometer,smartphone,1454458980314803384,0.010,0.514,9.965
accelerometer,smartphone,1454458980319472691,0.019,0.499,9.975
accelerometer,smartphone,1454458980325088196,-0.005,0.497,9.957
accelerometer,smartphone,1454458980329844743,-0.029,0.486,9.946
accelerometer,smartphone,1454458980334913840,0.006,0.507,9.965
accelerometer,smartphone,1454458980339761167,0.029,0.524,9.971
accelerometer,smartphone,1454458980344988704,0.007,0.500,9.955
accelerometer,smartphone,1454458980349918739,-0.002,0.483,9.962
accelerometer,smartphone,1454458980355297837,-0.012,0.492,9.986
accelerometer,smartphone,1454458980359964384,-0.021,0.516,9.982
accelerometer,smartphone,1454458980365150774,-0.005,0.504,9.975
accelerometer,smartphone,1454458980370095133,0.014,0.483,9.983
accelerometer,smartphone,1454458980375206106,0.018,0.452,10.002
accelerometer,smartphone,1454458980379986349,0.010,0.471,10.017
accelerometer,smartphone,1454458980385537428,0.014,0.485,10.002
accelerometer,smartphone,1454458980390294443,0.004,0.479,9.959
accelerometer,smartphone,1454458980395343125,0.012,0.493,9.965
accelerometer,smartphone,1454458980400266389,0.019,0.488,9.982
accelerometer,smartphone,1454458980405482050,0.001,0.486,10.015
accelerometer,smartphone,1454458980410415628,0.005,0.481,10.012
accelerometer,smartphone,1454458980415842278,0.024,0.490,9.956
accelerometer,smartphone,1454458980420090074,0.032,0.509,9.941
accelerometer,smartphone,1454458980425595527,0.021,0.505,9.966
accelerometer,smartphone,1454458980430566239,-0.020,0.518,10.002
accelerometer,smartphone,1454458980435770130,-0.009,0.505,9.981
