sensor_type, device_type, timestamps, ssid, bssid, frequency, level, 
wlan,smartphone,1454961108910809284,swaaa,44:ad:d9:f0:f6:c3,2412.000,-77.000
wlan,smartphone,1454961108910738503,WIRELESSNET2,44:ad:d9:f0:f6:c4,2412.000,-76.000
wlan,smartphone,1454961108910728149,swsecure,44:ad:d9:f0:f6:c2,2412.000,-76.000
wlan,smartphone,1454961108910933055,,94:b4:0f:58:16:14,5785.000,-89.000
wlan,smartphone,1454961108910841587,,94:b4:0f:58:16:10,5785.000,-89.000
wlan,smartphone,1454961108910849691,,94:b4:0f:58:16:12,5785.000,-89.000
wlan,smartphone,1454961108910827264,,94:b4:0f:58:16:13,5785.000,-89.000
wlan,smartphone,1454961108904664837,HSB_Guest,94:b4:0f:58:16:11,5785.000,-90.000
wlan,smartphone,1454961108910487275,,94:b4:0f:58:16:04,2412.000,-90.000
wlan,smartphone,1454961108910410410,,94:b4:0f:58:16:00,2412.000,-91.000
wlan,smartphone,1454961108910354858,5ECUR3w3p5TOR3,44:ad:d9:f0:f6:c1,2412.000,-76.000
wlan,smartphone,1454961108910776442,Maximus5,d0:03:4b:d7:eb:96,2437.000,-90.000
wlan,smartphone,1454961108910813401,,94:b4:0f:58:16:f4,5745.000,-87.000
wlan,smartphone,1454961112368434734,,94:b4:0f:58:16:f0,5745.000,-92.000
wlan,smartphone,1454961112368425484,HSB_Guest,94:b4:0f:58:16:f1,5745.000,-90.000
wlan,smartphone,1454961112368418172,,94:b4:0f:58:16:f3,5745.000,-90.000
wlan,smartphone,1454961108910674484,,94:b4:0f:58:16:f2,5745.000,-88.000
wlan,smartphone,1454961108910560120,swaaa,44:ad:d9:f0:f6:c3,2412.000,-77.000
wlan,smartphone,1454961108910484234,WIRELESSNET2,44:ad:d9:f0:f6:c4,2412.000,-76.000
wlan,smartphone,1454961108910442943,swsecure,44:ad:d9:f0:f6:c2,2412.000,-76.000
wlan,smartphone,1454961108910647172,,94:b4:0f:58:16:14,5785.000,-89.000
wlan,smartphone,1454961108910556640,,94:b4:0f:58:16:10,5785.000,-89.000
wlan,smartphone,1454961108910557974,,94:b4:0f:58:16:12,5785.000,-89.000
wlan,smartphone,1454961108910550547,,94:b4:0f:58:16:13,5785.000,-89.000
wlan,smartphone,1454961108910492286,HSB_Guest,94:b4:0f:58:16:11,5785.000,-90.000
wlan,smartphone,1454961112369041870,,94:b4:0f:58:16:04,2412.000,-79.000
wlan,smartphone,1454961112368975182,,94:b4:0f:58:16:00,2412.000,-79.000
wlan,smartphone,1454961108911249807,5ECUR3w3p5TOR3,44:ad:d9:f0:f6:c1,2412.000,-76.000
wlan,smartphone,1454961112368953807,,94:b4:0f:58:16:03,2412.000,-78.000
wlan,smartphone,1454961112368916693,,94:b4:0f:58:16:02,2412.000,-79.000
wlan,smartphone,1454961112368861797,HSB_Guest,94:b4:0f:58:16:01,2412.000,-82.000
wlan,smartphone,1454961112368922536,,94:b4:0f:58:16:e4,2462.000,-90.000
wlan,smartphone,1454961112368882693,,94:b4:0f:58:14:e2,2462.000,-90.000
wlan,smartphone,1454961123779815592,,94:b4:0f:58:16:03,2412.000,-81.000
wlan,smartphone,1454961123779771624,,94:b4:0f:58:16:02,2412.000,-82.000
wlan,smartphone,1454961123779744207,HSB_Guest,94:b4:0f:58:16:01,2412.000,-82.000
wlan,smartphone,1454961123779743165,safewaywifi,2c:44:fd:a0:3d:40,2412.000,-88.000
wlan,smartphone,1454961123779730322,,2c:44:fd:a0:3d:41,2412.000,-90.000
wlan,smartphone,1454961138489436598,,ec:e1:a9:db:44:d2,2437.000,-89.000
wlan,smartphone,1454961138489412192,,ec:e1:a9:db:44:d1,2437.000,-89.000
wlan,smartphone,1454961138489711079,,ec:e1:a9:db:44:d2,2437.000,-89.000
wlan,smartphone,1454961138489689849,,ec:e1:a9:db:44:d1,2437.000,-89.000
wlan,smartphone,1454961163738326285,Ram-Guest,04:18:d6:04:a5:d9,2412.000,-72.000
